['260031', '2020-01-01', 'quarta-feira', '01:00:00', 'TO', '153', '678.1', 'GURUPI', 'Animais na Pista', 'Atropelamento de Animal', 'Com Vítimas Feridas', 'Plena Noite', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Não', '5', '0', '0', '5', '0', '0', '5', '1', '-11.77460203', '-49.10744996', 'SR-TO', 'UOP01/TO', '\n']
['260038', '2020-01-01', 'quarta-feira', '01:15:00', 'RO', '364', '236', 'CACOAL', 'Velocidade Incompatível', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Nublado', 'Simples', 'Reta', 'Sim', '1', '0', '0', '1', '0', '0', '1', '1', '-11.44624577', '-61.43761218', 'SR-RO', 'DEL21/2', 'UOP02/RO\n']
['260040', '2020-01-01', 'quarta-feira', '00:40:00', 'RO', '319', '64', 'PORTO VELHO', 'Ingestão de Álcool', 'Colisão transversal', 'Sem Vítimas', 'Plena Noite', 'Decrescente', 'Céu Claro', 'Dupla', 'Reta', 'Sim', '2', '0', '0', '0', '2', '0', '0', '2', '-8.76751908', '-63.88427496', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260054', '2020-01-01', 'quarta-feira', '00:05:00', 'AP', '156', '406', 'FERREIRA GOMES', 'Animais na Pista', 'Atropelamento de Animal', 'Sem Vítimas', 'Plena Noite', 'Crescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '1', '0', '0', '0', '1', '0', '0', '1', '1.02196945', '-51.09020434', 'SR-AP', 'UOP01/AP', '\n']
['260068', '2020-01-01', 'quarta-feira', '05:40:00', 'PA', '316', '84', 'SAO FRANCISCO DO PARA', 'Falta de Atenção à Condução', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '0', '2', '0', '0', '0', '2', '1', '-1.3101929', '-47.74456398', 'SR-PA', 'DEL19/1', 'UOP02/PA\n']
['260081', '2020-01-01', 'quarta-feira', '06:17:00', 'RO', '364', '196.9', 'PIMENTA BUENO', 'Falta de Atenção à Condução', 'Colisão traseira', 'Com Vítimas Feridas', 'Amanhecer', 'Decrescente', 'Chuva', 'Simples', 'Interseção de vias', 'Sim', '2', '0', '0', '1', '1', '0', '1', '2', '-11.68671732', '-61.18347731', 'SR-RO', 'DEL21/2', 'UOP02/RO\n']
['260100', '2020-01-01', 'quarta-feira', '06:30:00', 'RO', '364', '331', 'JI-PARANA', 'Falta de Atenção à Condução', 'Tombamento', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Nublado', 'Simples', 'Reta', 'Não', '1', '0', '0', '1', '0', '0', '1', '1', '-10.95469871', '-61.91979918', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['260113', '2020-01-01', 'quarta-feira', '07:30:00', 'RO', '364', '716', 'PORTO VELHO', 'Avarias e/ou desgaste excessivo no pneu', 'Tombamento', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Garoa/Chuvisco', 'Dupla', 'Reta', 'Não', '1', '0', '0', '1', '0', '0', '1', '1', '-8.78573785', '-63.89817015', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260117', '2020-01-01', 'quarta-feira', '05:00:00', 'PA', '308', '172.7', 'TRACUATEUA', 'Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo', 'Colisão traseira', 'Com Vítimas Fatais', 'Plena Noite', 'Decrescente', 'Nublado', 'Simples', 'Não Informado', 'Não', '4', '2', '1', '0', '1', '0', '1', '2', '-1.17932312', '-47.00270886', 'SR-PA', 'DEL19/1', 'UOP03/PA\n']
['260148', '2020-01-01', 'quarta-feira', '15:20:00', 'TO', '153', '679.9', 'GURUPI', 'Ultrapassagem Indevida', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '0', '1', '0', '1', '0', '1', '2', '-11.78176489', '-49.11301313', 'SR-TO', 'UOP01/TO', '\n']
['260155', '2020-01-01', 'quarta-feira', '13:50:00', 'RO', '319', '62', 'PORTO VELHO', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Chuva', 'Múltipla', 'Interseção de vias', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '-8.766685', '-63.884052', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260209', '2020-01-01', 'quarta-feira', '15:00:00', 'AP', '156', '280', 'PORTO GRANDE', 'Velocidade Incompatível', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Chuva', 'Simples', 'Curva', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '0.5673526', '-51.15126818', 'SR-AP', 'UOP01/AP', '\n']
['260220', '2020-01-01', 'quarta-feira', '04:30:00', 'TO', '153', '614.9', 'ALIANCA DO TOCANTINS', 'Ingestão de Álcool', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Ignorado', 'Simples', 'Reta', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-11.22939795', '-48.93308644', 'SR-TO', 'UOP01/TO', '\n']
['260240', '2020-01-01', 'quarta-feira', '19:40:00', 'PA', '316', '32.5', 'SANTA IZABEL DO PARA', 'Pista Escorregadia', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Chuva', 'Dupla', 'Curva', 'Sim', '1', '0', '0', '1', '0', '0', '1', '1', '-1.29883965', '-48.18120718', 'SR-PA', 'DEL19/1', 'UOP01/PA\n']
['260242', '2020-01-01', 'quarta-feira', '20:20:00', 'RO', '364', '358', 'OURO PRETO DO OESTE', 'Defeito na Via', 'Tombamento', 'Com Vítimas Feridas', 'Plena Noite', 'Crescente', 'Chuva', 'Simples', 'Reta', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-10.79098663', '-62.04115379', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['260259', '2020-01-01', 'quarta-feira', '22:10:00', 'RO', '364', '515', 'ARIQUEMES', 'Sinalização da via insuficiente ou inadequada', 'Colisão com objeto estático', 'Sem Vítimas', 'Plena Noite', 'Crescente', 'Chuva', 'Simples', 'Reta', 'Sim', '4', '0', '0', '0', '4', '0', '0', '1', '-9.92497302', '-63.05491046', 'SR-RO', 'DEL21/3', 'UOP01/RO\n']
['260262', '2020-01-02', 'quinta-feira', '01:30:00', 'TO', '153', '255.8', 'COLINAS DO TOCANTINS', 'Falta de Atenção à Condução', 'Colisão transversal', 'Com Vítimas Fatais', 'Plena Noite', 'Decrescente', 'Nublado', 'Simples', 'Reta', 'Não', '2', '1', '0', '0', '1', '0', '0', '2', '-8.13315806', '-48.4703064', 'SR-TO', 'UOP03/TO', '\n']
['260304', '2020-01-02', 'quinta-feira', '07:52:00', 'RO', '319', '61', 'PORTO VELHO', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Nublado', 'Dupla', 'Rotatória', 'Sim', '3', '0', '1', '1', '1', '0', '2', '2', '-8.766685', '-63.884052', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260315', '2020-01-02', 'quinta-feira', '10:40:00', 'TO', '153', '465', 'BARROLANDIA', 'Velocidade Incompatível', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Chuva', 'Simples', 'Não Informado', 'Não', '2', '0', '1', '1', '0', '0', '2', '1', '-9.957962', '-48.74406002', 'SR-TO', 'UOP02/TO', '\n']
['260341', '2020-01-02', 'quinta-feira', '11:10:00', 'RO', '364', '711', 'PORTO VELHO', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Sim', '3', '0', '1', '0', '2', '0', '1', '2', '-8.78332371', '-63.86316245', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260354', '2020-01-02', 'quinta-feira', '13:00:00', 'AP', '210', '2', 'MACAPA', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Simples', 'Reta', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '0.08282017', '-51.07776189', 'SR-AP', 'UOP01/AP', '\n']
['260390', '2020-01-02', 'quinta-feira', '14:05:00', 'AC', '364', '122', 'RIO BRANCO', 'Animais na Pista', 'Atropelamento de Animal', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Dupla', 'Reta', 'Sim', '1', '0', '1', '0', '0', '0', '1', '1', '-10.01188291', '-67.773345', 'SR-AC', 'UOP01/AC', '\n']
['260430', '2020-01-02', 'quinta-feira', '16:30:00', 'PA', '10', '103', 'PARAGOMINAS', 'Pista Escorregadia', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Chuva', 'Simples', 'Desvio Temporário', 'Não', '3', '0', '3', '0', '0', '0', '3', '1', '-3.53991983', '-47.49086353', 'SR-PA', 'DEL19/2', 'UOP03/PA\n']
['260431', '2020-01-02', 'quinta-feira', '17:30:00', 'TO', '153', '250', 'COLINAS DO TOCANTINS', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Anoitecer', 'Decrescente', 'Nublado', 'Dupla', 'Desvio Temporário', 'Sim', '2', '0', '0', '1', '1', '0', '1', '2', '-8.05584913', '-48.46619817', 'SR-TO', 'UOP03/TO', '\n']
['260439', '2020-01-02', 'quinta-feira', '20:25:00', 'TO', '153', '382', 'FORTALEZA DO TABOCAO', 'Ultrapassagem Indevida', 'Colisão frontal', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Garoa/Chuvisco', 'Simples', 'Reta', 'Não', '2', '0', '0', '1', '1', '0', '1', '2', '-9.260822', '-48.54802936', 'SR-TO', 'UOP03/TO', '\n']
['260441', '2020-01-02', 'quinta-feira', '17:00:00', 'RR', '174', '17', 'BOA VISTA', 'Defeito Mecânico no Veículo', 'Capotamento', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Simples', 'Reta', 'Não', '9', '0', '3', '0', '6', '0', '3', '1', '2.874681', '-60.791526', 'SR-RR', 'UOP01/RR', '\n']
['260489', '2020-01-03', 'sexta-feira', '00:45:00', 'RO', '364', '341', 'JI-PARANA', 'Ingestão de Álcool', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Chuva', 'Simples', 'Reta', 'Sim', '1', '0', '0', '1', '0', '0', '1', '1', '-10.88987987', '-61.93126772', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['260672', '2020-01-03', 'sexta-feira', '18:35:00', 'RO', '174', '15', 'VILHENA', 'Restrição de Visibilidade', 'Colisão transversal', 'Com Vítimas Feridas', 'Anoitecer', 'Decrescente', 'Chuva', 'Simples', 'Reta', 'Sim', '2', '0', '1', '0', '1', '0', '1', '2', '-12.723321', '-60.12801', 'SR-RO', 'DEL21/4', 'UOP01/RO\n']
['260681', '2020-01-03', 'sexta-feira', '19:54:00', 'RO', '319', '59.9', 'PORTO VELHO', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Nublado', 'Dupla', 'Interseção de vias', 'Sim', '2', '0', '2', '0', '0', '0', '2', '2', '-8.74250565', '-63.90262496', 'SR-RO', 'DEL21/1', 'UOP01/RO\n']
['260712', '2020-01-03', 'sexta-feira', '21:40:00', 'TO', '242', '422.2', 'FORMOSO DO ARAGUAIA', 'Defeito Mecânico no Veículo', 'Saída de leito carroçável', 'Sem Vítimas', 'Plena Noite', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '5', '0', '0', '0', '5', '0', '0', '1', '-11.93028018', '-49.29724405', 'SR-TO', 'UOP01/TO', '\n']
['260758', '2020-01-04', 'sábado', '07:20:00', 'AC', '364', '255.9', 'SENA MADUREIRA', 'Desobediência às normas de trânsito pelo condutor', 'Colisão transversal', 'Com Vítimas Fatais', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '2', '1', '0', '0', '1', '0', '0', '2', '-9.18755199', '-68.55481799', 'SR-AC', 'UOP01/AC', '\n']
